"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000230312.2",5.35294368699238,0.0854854873056803,0.579683508017265,15.8381411443291,0.00732170748157439,0.0107276880760692
"ENSG00000228212.1",16.8518637162144,0.5640704151151,0.326514164195505,15.8374022632472,0.00732396055865221,0.0107304362879315
"ENSG00000226629.1",1.48869405314117,2.31996272754121,0.634899552045633,15.8354334709347,0.00732996731076512,0.0107386834945985
"ENSG00000002586.20_PAR_Y",1.5901327980947,-0.0996313481937752,0.649894360642565,15.83427676529,0.00733349863594603,0.0107433034427668
"ENSG00000237463.6",1.35398846260717,-0.319675546530826,0.641265422405877,15.8243752160621,0.00736379506289956,0.0107871307758442
"ENSG00000230010.2",7.79291161070382,0.652756920762167,0.448082069824777,15.8222785789225,0.00737022589277004,0.0107959949811045
"ENSG00000270019.1",4.49976021174853,0.49518786495056,0.495652425152226,15.8153861534204,0.00739140496151633,0.010826460556686
"ENSG00000203791.15",160.758208011089,-0.281523599901585,0.139073139048595,15.8115571608465,0.00740319628281973,0.010842656540783
"ENSG00000250474.2",3.420905101153,1.50243746318829,0.563627956899681,15.8115478630144,0.00740322493761323,0.010842656540783
"ENSG00000281100.1",5.48121645006576,-0.689430867873074,0.472903464888433,15.8087577755494,0.00741182852728021,0.0108546980883708
"ENSG00000254419.1",1.94193611130007,-0.35024755332678,0.64653210206632,15.8017104401557,0.0074336032340029,0.0108860266365784
"ENSG00000279159.1",71.5726785063057,0.192851972588989,0.210088550055551,15.7958877872244,0.00745164089787371,0.0109118795842782
"ENSG00000267786.1",3.3814472448663,0.132360659532655,0.617476737836724,15.7928219609458,0.00746115545623658,0.0109252496230993
"ENSG00000275807.1",11.9265382453993,0.430105427215681,0.394030096693707,15.7883292039059,0.00747511974505475,0.0109451336178492
"ENSG00000277795.1",2.3405741494805,0.303594087729773,0.644406841615906,15.7852890693097,0.00748458344885824,0.0109584261093742
"ENSG00000251595.7",27.6633216826681,-0.174450931041887,0.287291184621065,15.7787380041448,0.00750501605550726,0.0109877763383204
"ENSG00000235816.3",12.4141357710885,-0.730239838185148,0.391111949825542,15.7721752836768,0.00752553943448019,0.011017256433816
"ENSG00000186792.17",55.1866264873631,0.0117062666918328,0.233829192949505,15.7712496021529,0.00752843867898269,0.011020677013058
"ENSG00000198711.5",18.7869053332714,0.477197049949797,0.36396144570434,15.771181775827,0.0075286511544958,0.011020677013058
"ENSG00000199476.1",3.1621438217301,-1.45713094043594,0.619180773003128,15.7664393156327,0.00754352205505986,0.0110418770114015
"ENSG00000140395.9",862.285630939192,-0.214831901280945,0.0792989285918973,15.7539716016085,0.00758275345152948,0.0110987308177033
"ENSG00000224383.7",3.08842071146728,-0.961368889022641,0.600036972197105,15.7489458687121,0.00759862369724698,0.0111213872624383
"ENSG00000186367.7",5.35546425019991,0.534534166837238,0.554959651844423,15.7469139321944,0.00760504931133785,0.0111302188716713
"ENSG00000232587.1",3.6232629693414,-0.938994347959624,0.602698686167004,15.7402819871923,0.00762605838864766,0.0111603918110989
"ENSG00000251273.4",1.05063158665326,1.58220810268815,0.652922209438223,15.7356399394608,0.00764079733264084,0.011181386060098
"ENSG00000272172.1",5.92485644628156,-0.0440270487423247,0.553388007505154,15.7312156781498,0.00765487057688708,0.0112014040268684
"ENSG00000237310.2",32.2769736006364,-0.470656885779744,0.265595536410544,15.7283178480163,0.00766410202281975,0.0112143352741913
"ENSG00000244754.8",1451.405526534,0.113277013443775,0.102403734803518,15.7203995480112,0.00768938214964381,0.011250746875189
"ENSG00000229867.2",5.77073871315779,-0.520786622836954,0.500257116353804,15.719182777612,0.00769327401968903,0.0112558620350846
"ENSG00000285589.1",28.5314056091426,0.910499290598607,0.305857594942675,15.7162874944473,0.00770254236082641,0.0112688424618203
"ENSG00000232727.2",33.2541202032959,0.231063490012363,0.24761273440865,15.7144324587914,0.00770848638440145,0.0112769583165064
"ENSG00000251129.2",8.79142794099342,-0.854490092508211,0.5049758455502,15.7137494832308,0.00771067594198766,0.0112795811063281
"ENSG00000287042.1",4.4241222338259,0.530850482555361,0.553555992694806,15.7037074616907,0.00774293968501247,0.0113261954583667
"ENSG00000228354.1",7.36195227684702,-1.43972883968225,0.517923292819233,15.7018955601229,0.00774877506456921,0.0113341481961021
"ENSG00000276298.1",7.07615455620105,1.09795362151413,0.502962675122464,15.6981541276647,0.00776083819968643,0.0113512089970412
"ENSG00000278771.1",1.77187704615191,0.803266100630913,0.646794831641317,15.6958106375503,0.00776840338887501,0.0113616895654575
"ENSG00000235064.1",20.4601046918088,-0.860237577644616,0.332571242161093,15.6953299061325,0.00776995615907468,0.0113633760359452
"ENSG00000229770.2",2.84220523276466,-1.75950768961941,0.671704094763863,15.6925978599228,0.00777878644750538,0.0113757049827936
"ENSG00000054611.14",293.608900865008,0.110639307048484,0.119886903973928,15.6849963449211,0.00780340681877487,0.0114105360353532
"ENSG00000236319.2",17.9230024606651,-0.453383716091223,0.306964319686075,15.6850671752581,0.00780317705854793,0.0114105360353532
"ENSG00000275176.4",7.97299624893363,0.0244175105115361,0.487625703173779,15.6843035784359,0.00780565436929979,0.011413235537564
"ENSG00000157856.12",4.89868876326607,1.5819985902966,0.492514432256442,15.682217919447,0.00781242469978712,0.0114225475195077
"ENSG00000274002.1",2.24430615479293,-0.206259902806077,0.639518422005535,15.6816277326368,0.0078143415624821,0.0114247626525681
"ENSG00000260618.1",8.09329232542282,0.5212217204701,0.524053905351985,15.6804729981592,0.00781809333804561,0.0114296601083563
"ENSG00000259895.1",2.52454219639618,0.982457978317191,0.59583082959398,15.6758782148817,0.00783303932551224,0.011450921595093
"ENSG00000234432.4",4.26935885154609,1.05499532464948,0.559753768741867,15.6753894996914,0.00783463066072889,0.0114523767044083
"ENSG00000272812.1",9.97801306903904,1.75320440238503,0.44932284606108,15.6753251259696,0.00783484029535193,0.0114523767044083
"ENSG00000237346.2",1.53543863018599,-0.890112014355382,0.619519521037701,15.6732493624863,0.0078416029960036,0.0114616726497211
"ENSG00000262919.8",200.070869929334,0.230667388560266,0.155450583716883,15.6694090569855,0.00785412943069593,0.0114793917634065
